ID,Name (EN),Name (AR),Address (EN),Address (AR),Sub-Region,Retail Segment,Outlet
1,CARREFOUR CITY CENTRE,كارفور ستي سنتر,Omar Al Makhtar St. West Bay City C. Mall,عمر المختار,DOHA,HYPERMARKET,CARREFOUR
2,CARREFOUR LANDMARK,كارفور لاند مارك,Al Markiya St. Gharafa Landmark Mall,المريخية,DOHA,HYPERMARKET,CARREFOUR
3,CARREFOUR VILLAGGIO,كارفور فيلاجيو,Al Rayyan Road Doha. Villagio mall,فيلاجيو مول,DOHA,HYPERMARKET,CARREFOUR
4,CARREFOUR EXPRESS LAGOONA,كارفور لاجونا,Shakespear St. Doha Lagoona Mall,لاقونا مول,DOHA,HYPERMARKET,CARREFOUR
5,CARREFOUR MARKETS - DAR AL SALAM,كارفور دار السلام,E - Ring Road Abu Hamour Dar Al Salam,أبوهامور -دار السلام,DOHA,HYPERMARKET,CARREFOUR
6,CARREFOUR EZDAN MALL,كارفور ازدان,Al Gharafa St. Doha . Ezdan Mall,ازدان مول,DOHA,HYPERMARKET,CARREFOUR
7,CARREFOUR WAKRA,كارفور الوكره,WAKRA CITY    HOSPITAL WAKRA ST,الوكره,AL WAKRAH,HYPERMARKET,CARREFOUR
8,CARREFOUR MALL OF QATAR,كارفور مول قطر,SHAHANYA ,طريق الشحانيه,DOHA,HYPERMARKET,CARREFOUR
9,MUNTAZAH COOP. SOCIETY- MAIN ( MANSOURA),الميره منصوره,Mansoura,المنصورة,DOHA,COOP,AL MEERA
10,NEW DOHA CONSUMERS ( HAZAM MARKIYA ),الميره حزم المرخيه,Murkhaiya,المريخية,DOHA,COOP,AL MEERA
11,AL YARMOUK (BIN OMRAN) CO-OPERATIVE,الميره بن عمران,BIN OMRAN ST,منطقه بن عمران,DOHA,COOP,AL MEERA
12,KHALIFA AZGHAWA,الميره ازغوه,AZGHAWA ,ازغوى,DOHA,COOP,AL MEERA
13,AL WAKHRA CO-OPERATIVE,الميره فرع الوكره,WAKRA CITY  ,مدينه الوكره,AL WAKRAH,COOP,AL MEERA
14,KHALIFA SOUTH - JANUBIA NEW,الميره خايفه الجنوبيه,South Khalifa,جنوب خليفة,DOHA,COOP,AL MEERA
15,RAYYAN CO-OP. - NASRIA ( GARAFA AL RAYYAN),الميره غرافه الريان,GHARAFAT AL RAYAN,غرافه الريان,DOHA,COOP,AL MEERA
16,MUNTHAZA CO-OP - HILAL,الميره الهلال,Hilal,الهلال,DOHA,COOP,AL MEERA
17,NEW DOHA CO-OPERATIVE ONEZA 2,الميره عنيزه,Oniza,عنيزة,DOHA,COOP,AL MEERA
