ID,Name (EN),Name (AR)
1,CARREFOUR,كارفور 
2,AL MEERA,الميره 
3,GRAND HYPERMARKET,جراند هايبر ماركت
4,LULU GROUP,مجموعة اللولو
5,SAFEER GROUP,مجموعة سفير
8,FAMILY SHOPPING- MURRAH,مجمع العائلي للتموين المراح
9,AZIZIA FAMILY SHOPPING- COMPLEX,مجمع العزيزية للتسوق
11,FOOD WORLD,عالم الاغديه
13,SAUDIA SUPERMARKET,سوبر ماركت  السعودية
14,RAWABI MINI HYPERMARKET,روابي ميني ماركت
15,MARS SHOPPING COMPLEX,مجمع مارس
17,SPINNEYS,سبينس
18,QATAR BIG MART,قطر بيج مارت
19,AL RAWABI FOOD STUFF,الروابى
20,QATAR SHOPPING COMPLEX,مجمع قطر للتسوق
22,SAFARI HYPERMARKET,مجمع سفاري
24,RAMEZ GROUP,مجموعة رامز
25,AL WASMI,الوسمي
26,FATHIMA SHOPPING COMPLEX,فاطمة
27,RAYYAN,ريان
28,SAIDA COLD STORE BAKERY,برادات صيدا
29,BREAD AND BAGELS,مطعم برد اند بيوجلز 
31,KABAYAN FOOD STUFF TRADING EST,كابايان هايبرماركت
32,MEGA MART,ميغا مارت
33,ANSAR GALLERY,أنصار جاليري
34,NOOR AL WAKRAH,نور الوكرة
35,DIAMOND SHOPPING CENTER,دايموند للتسوق
37,MASSKAR HYPERMARKET,ماسكر هيبر ماركت
38,SAFARI,سفاري
39,FAMILY FOOD CENTER,مركز التموين العائلي
41,PARK N SHOP HYPERMARKETS,بارك اند شوب
42,KABAYAN SUPERMARKETS(MAIN SOUQ),كابايان سوبرماركت السوق الرئيسي
44,QUALITY HYPERMARKET,كواليتي الجديد
45,MAMOURA COMPLEX,مجمع المعموره
46,NAMI SUPERMARKETS,سوبرماركت نامي
47,GRAND MART,جراند مارت
48,FAMILY CHICKEN CENTER,فاملي تشكن سنتر
49,GRAND MART TRADING,جراند مارت للتجاره
50,ISMAIL BAUDOIN & CO / AL-HUSSEIN CAMP-HINJR,شركة اسماعيل بدوان وشركاه/مخيم الحسين-الهنجر
51,NEW QUALITY HYPERMARKET (BIN MAHAMOUD),كواليتي الجديد
52,SALWA SUPERMARKETS,سوبرماركت سلوى
53,SEA SHORE FOOD CENTER,مركز شاطئ البحرللغذاء
54,HOME FRESH SUPERMARKET,سوبرماركت هوم فريش
55,AL KHORY FOOD STUFF AND TRADING,الخوري لتجاره المواد الغدائيه
56,ABDUL HASSAIN MOHD KHOORY(NAIN),عبد الحسين الخوري
57,YAAQHOB AMAIREH & CO. / JBAIHA,ش.يعقوب العمايرة وشركاه/الجبيهة
58,ABA MONOPRIX QATAR,مونوبري
59,SHOP RITE,شوب رايت
60,LOGIC MALL,لوجك مول 
61,FOOD PALACE,قصر الاغديه
63,HIGH LAND HYPERMARKETS,هاي لاند
65,DANA H/M,الدانه هايبر ماركت
66,AL WUSAYL MODERN S/M,السيل سوبرماركت
67,ARWA SHOPPING CENTRE,مركز أروى
68,REGENCY SHOPPING COMPLEX,رجنسي للتسوق
69,GRAND MARKET,مركز تسوق جراند
70,ANSAR GALLARY,أنصار جاليري
71,SKY MALL,سكاي مول 
72,RETAIL MART,ريتيل مارت 
73,WESTBAY COMPLEX,مجمع الخليج الغربي
74,FAMILY SHOPPING CENTRE - FOOD STUUF,مركز العائلي للتموين
75,AL TAYIF S/M (FRG AL NASR),سوبرمركت الطائف
76,RAWABI FOOD,الروابي
77,FOOD CENTER MAMOURA,فودسنتر
78,GREEN OASIS,الواحة الخضراء
79,STRAND BAKERY AND CATEREING (NEW),سوبر ماركت ستراند
80,AL TAYEF FOOD CENTRE,الطائف فود سنتر
81,SAHRAN FOOD STUFF,سهران للمواد الغدائيه
82,FAMILY FOOD LAND,أرض الغذاء
83,DOHA BROTHER GROCERY,بقالة الدوحة اخوان
84,SUPERMARKET FOUR CATS / JBAIHA,سوبر ماركت القطط الاربعة/الجبيهة
85,AJMAL FOOD CENTRE W.L.L,اجمل فود سنتر
86,RADAR,سوبرماركت رادار
87,INDIAN HYPERMARKET,سوبر ماركتالهندي الحديث
88,STOP N' SHOP,ستوب أند شوب
89,LAGOON FAMILY SHOPPING COMPLEX,مجمع لاقون للتسوق
90,QUALITY,كوالتي
92,24x7 S/M (AL JAZIRA P/STATION SALWA ROAD),24/ 7 الجزيرة
93,NEW TAIF,الطائف الجديد
94,DAY AND NIGHT SHOPPING CENTRE - WESTBAY,دي اند نايت للتسوق
96,DIAMOND FOOD STUFF,دايموند للمواد الغذائية
97,AMWAJ CATERING SERVICES,شركه امواج
98,Top and Top /wadi Jeriah,توب اند توب/ وادي جريعة
99,QATAR AIRCRAFT CATERING COMPANY,قطر لخدمات المطاعم
100,RASHDAN FOUNDATION,مؤسسة الرشدان للمواد الاستهلاكية/ اربد
101,QUALITY FOOD & SERVICES,كوالتي للاغديه
102,GRAND EXPRESS W.L.L.,جراند اكسبرس
103,METRO MART,مترو مارت
