ID,Name (EN),Name (AR),Address (EN),Address (AR),Sub-Region,Retail Segment,Outlet
1,ABDUL LATIF F/S STORES,عبداللطيف للمواد الغذائية ومخزن,"P.O. 19603
AL AIN MARKET
..",العين,AL AIN,B - CLASS,ABDUL LATIF F/S STORES
2,ABDULLA AL KHATTAL GNERAL TRADING,عبدالله الختال للتجارة العامة,"P.O.BOX 5086
 SHOP NO. 34A & 142 WHOLESALE BLOCK 4
 AWEER VEG. MRKT 
DUBAI..",دبي,DUBAI,WHOLESALE,ABDULLA AL KHATTAL GNERAL TRADING
3,ABU HAMAD TRADING,عبدالحميد للتجارة,P.O.BOX 81034 AL YAHER AL AIN,العين,AL AIN,WHOLESALE,ABU HAMAD TRADING
4,ABU YASER STORES - BR.,أبو ياسر للمواد الغذائية,PO 19603 MAIN STREET AL AIN,العين,AL AIN,B - CLASS,ABU YASER STORES - BR.
5,AUH COOP ABUDHABI MALL,جمعية أبوظبي التعاونية مول أبوظبي,NEAR LEMERIDIAN HOTEL TCA OR INSIDE ABU DHABI MALL,جانب فندق الميريديان,ABU DHABI,COOP,ABUDHABI CO OP. SOC.
6,AUH COOP BUTEEN BR.,جمعية أبوظبي التعاونية بطين,NEAR KHALIDIYA POLICE STATION,جانب مركز شرطة الخالدية,ABU DHABI,COOP,ABUDHABI CO OP. SOC.
7,AUH COOP DANA BR.,جمعية أبوظبي التعاونية دانا,OPPOSITE TO BANK STREET IN KHALIDIYA,الخالدية مقابل شارع البنوك,ABU DHABI,COOP,ABUDHABI CO OP. SOC.
8,AUH COOP ELECTRA,جمعية أبوظبي التعاونية إلكترا,NEAR ADCB MAIN BRANCH ELECTRA,جانب بنك ابوظبي التجاري فرع الكترا,ABU DHABI,COOP,ABUDHABI CO OP. SOC.
9,AUH COOP GARDEN BR.,جمعية أبوظبي التعاونية جاردن,NEAR TO KHALIDIYA PUBLIC GARDEN,جانب حديقة الخالدية,ABU DHABI,COOP,ABUDHABI CO OP. SOC.
10,AUH COOP HAMDAN BR.,جمعية أبوظبي التعاونية حمدان,BESIDE OF AL MARIYA MALL IN HAMDAN STREET,شارع حمدان جانب المارية مول,ABU DHABI,COOP,ABUDHABI CO OP. SOC.
11,AUH COOP MADINAT ZAYED,جمعية أبوظبي التعاونية مدينة زايد,INSIDE MADINAT ZAYED SHOPPING COMPLEX,مجمع مدينة زايد,ABU DHABI,COOP,ABUDHABI CO OP. SOC.
12,AUH COOP MEENA BR.,جمعية أبوظبي التعاونية مينا,NEAR TO FREE PORT ENTRANCE IN MEENA CENTRE,المينا,ABU DHABI,COOP,ABUDHABI CO OP. SOC.
13,AUH COOP MURROR BR.,جمعية أبوظبي التعاونية مرور,EXIT DHAFEER BIN SULTHAN IN SALAM STREET ROAD,شارع المرور,ABU DHABI,COOP,ABUDHABI CO OP. SOC.
14,AUH COOP SPAR KHALIDIYA,,Near ADNOC station in Khalidiya,,ABU DHABI,COOP,ABUDHABI CO OP. SOC.
15,AUH COOP SPAR KHALIDIYA  # 1,,Behind the Bank Street in Khalidya,,ABU DHABI,COOP,ABUDHABI CO OP. SOC.
16,AUH COOP SPAR KHALIFA CITY,,Near Post office in Khalifa city,,ABU DHABI,COOP,ABUDHABI CO OP. SOC.
17,AUH COOP SPAR SHAMKHA,,In Makhani mall ( Behind Fire force office in Shamkha),,ABU DHABI,COOP,ABUDHABI CO OP. SOC.
18,AUH COOP WAREHOUSE,,Inside the Meena Free Port ,,ABU DHABI,COOP,ABUDHABI CO OP. SOC.
19,ABUDHABI COOP SOCIETY- (AL AIN),جمعيه أبوظبي التعاونيه - (العين),Al Ain - Mega Mart Mall,ميغا مارت العين,ABU DHABI,COOP,ABUDHABI CO OP. SOC.
20,AUH COOP SPAR NEIMA BR.,,Neima Area Al Ain ,,AL AIN,COOP,ABUDHABI CO OP. SOC.
21,AUH COOP SPAR NEIMA BR. (ZAKHER MALL),,"Neima Area, Zakhir Mall",,AL AIN,COOP,ABUDHABI CO OP. SOC.
22,AUH COOP AL WAGAN,,AL WAGAN NEAR TAWAM HOSPITAL ,,AL AIN,COOP,ABUDHABI CO OP. SOC.
23,AUH COOP AL FALAJ PLAZA,,AL FALAJ PLAZA ABU DHABI,,AL AIN,COOP,ABUDHABI CO OP. SOC.
24,AUH COOP AL NAHDHA BR.,فرع النهدة,Sharjah Al Nahda,النهدة,SHARJAH,COOP,ABUDHABI CO OP. SOC.
25,AUH COOP JAMAL ABDE EL NASSER BR.,فرع جمال عبدالناصر,Sharjah Jamal Abdul Naser,جمال عبد الناصر,SHARJAH,COOP,ABUDHABI CO OP. SOC.
26,AUH COOP KING FAISAL BR.,فرع الملك فيصل,Sharjah King Faisal,شارع الملك فيصل,SHARJAH,COOP,ABUDHABI CO OP. SOC.
27,AUH COOP MAIN BRANCH,الفرع الرئيسي,Sharjah Mega Mart,ميغا مارت الشارقة,SHARJAH,COOP,ABUDHABI CO OP. SOC.
28,AUH COOP QASIMIYAH BR.,فرع القاسمية,Sharjah Qasimiya,القاسمية,SHARJAH,COOP,ABUDHABI CO OP. SOC.
29,AUH COOP SPAR SUPERMARKET - AL JURF,سوبرماركت سبار - الجرف,Spar Ajman,عجمان,AJMAN,COOP,ABUDHABI CO OP. SOC.
30,ADWAA AL MADINA SUPERMARKET LLC,أضواء المدينه,PO 10456 KHORFAKKAN ,الفجيرة,FUJAIRAH,B - CLASS,ADWAA AL MADINA SUPERMARKET LLC
31,AL  WAHA SUPERMARKET,سوبرماركت الواحة,"P.B. 15921, JIMMY AL AIN",العين,AL AIN,B - CLASS,AL  WAHA SUPERMARKET
32,AL AASIMA CO-OPERATIVE SOCIETY,جمعيه العاصمة التعاونيه,"PO BOX 78940, ABUDHABI ",ابوظبي,ABU DHABI,B - CLASS,AL AASIMA CO-OPERATIVE SOCIETY
