ID,Name (EN) ,Name (AR) 
1,Rio mare,ريو مارى
2,American Garden,امريكان جاردن
3,California Garden,كاليفورنيا جاردن
4,Barilla,باريلا
5,Betty Crocker ,بيتي كروكر
6,Bertolli,بيتروللى
7,Heinz,هاينز
8,Maggi,ماجي
9,Knorr,كنور
10,AFFCO,افكو
11,AHMED,أحمد
12,AL AIN ,العين
13,AL BUSTAN,البستان
14,AL-FARES,الفارس
15,AL MARAI,المراعي
16,ALDURRA,الدرا
17,AL SAYAD,الصياد
18,AL WAZZAN,الوزان
19,AL QAEM,القيم
20,AL WAZAH,الوزاة
21,AL KHALEEJA,الخليج 
22,AL MEERA,الميرة
23,AMERICAN CLASSIC,امريكان كلاسيك
24,AMERICANA,أمريكانا
25,AMERICAN ORCHARD,امريكان اورشد
26,BARKA,بركاء
27,BELLA,بيلا
28,BERRY HILLS ,بيري هيلز
29,BISQUICK,بسكويك
30,ANTONIO AMATO ,أنطونيو امتو
31,BIRD,بيرد
32,ARUBU,اربو
33,ANKARA,أنقرة 
34,BIOTTONY,بيتتونى
35,CARREFOUR,كارفور
36,CADBURY,كادبورى
37,BOONNE MAMAN,بونى مامان
38,BUITONI,بيتونى
39,CENTURY ,سنشري
40,CAPTAIN,كابتن
41,BLUE OCEAN ,المحيط الأزرق
42,CALIFORNIA ,كاليفورنيا
43,COOP,الجمعية التعاونية
44,DAILY FRESH ,دالى فريش
45,DAVIS,ديفيس
46,CRYSTAL,كريستال
47,DELICIO,ديلسكو
48,DEL MONTE ,ديل مونتى
49,CLASSICO,كلاسيكو
50,DELGROSSO ,ديل جرسو
51,CHTAURA,شتورة
52,CHIF WEST,شيف ويست
53,DUNCAN HINEX ,دنكن هينكس
54,DIAMOND,الماس
55,DOLE,دولى
56,DREAM WHIP,دريم ويب
57,DREEM,دريم 
58,DIVELLA ,ديفيلا
59,DUBAI MACARONI,دبي للمكرونة
60,DOLMIO,دولميو
61,DELMONACO,دولمانكو
62,DOMO,دومو
63,DR.OETEKER ,در.تقر
64,DOLLYS,دليس
65,DURRA,الدرة
66,EL MARWA,المروة
67,FALCON,فالكون
68,EXCELLENCE,إكسلنس
69,EPICURE,بيكر
70,FOOD FACTORY ,فود فاكتوري
71,FAMILY,فاميلي
72,FOSTER CLARKS,فوستر كلاركس
73,EMARATS,امارتس
74,FARGELLO,فرجللو
75,FLORA,فلورا
76,GEISHA,جيشا
77,FRUITESSA,فروتس
78,GLASSICO,جلاسكو
79,GARDENIA ,جاردينيا
80,GEEMA,جيما
81,GAZAL,غزال
82,FOUNTY,فونتي
83,GLORIA,جلوريا
84,GOODY,جوودى
85,GREEN GIANT,العملاق الأخضر
86,GREENS,جرينز
87,HALAWANI,حلواني
88,HANA TUNA,هانا تونا
89,HARVEST,هارفست
