ID,Name (EN) ,Name (AR) 
1, TUNA ,تونة
2, PASTA ,مكرونة
3, KETCHUP ,طماطم كاتشب
4,BAKERY AIDS,مساعدات الخبيز
5, CAKE ,الكيك
6, CHICKEN CUBES ,مكعبات الدجاج
7, CORN ,ذرة
8, DESSERT ,حلوى
9, FREEKEH ,فريكة
10, FRUITS ,الفاكهة
11, HONEY ,العسل
12, JAM ,مربى
13, MUSHROOM ,فطر
14, OATS ,شوفان
15, SARDINES ,سردين
16, SAUCES ,صلصة
17, SYRUP ,شراب
18, TOMATO PASTE ,معجون الطماطم
19, VEGETABLE ,الخضار
20, VINE LEAVES ,ورق عنب
21, VINEGAR ,خل
22,ALBACORE ,الباكور
23,BABY CORN COBS,ذرة صغيرة
24,BAKING POWDER ,باكينج باودر
25,CAKE MIX,خليط الكيك
26,CHICKEN STOCK, مرقة دجاج
27,CHOICE PINEAPPLE SLICES,شرائح الاناناس
28,COCOA  POWDER ,كاكاو بودرة
29,CORN FLOUR,نشاء الذرة
30,CREAM DELIGHT,كريم شانتيه
31,CRÈME CARAMEL,كريم كاراميل
32,CUSTARD POWDER,مسحوق الكاسترد
33,DUMPLING MIX,خليط لقمة القاضي
34,FANCY TUNA ,تونة فاخرة
35,FRUIT COCKTAIL  ,فاكهة مشكلة
36,GELATIN,الجيلاتين
37,HOT KETCHUP, الكاتشب الحار
38,HOT SAUCE,شطة حارة
39,KETCHUP GLASS ,طماطم الكاتشب - عبوة زجاجية
40,KETCHUP SQUEEZE,طماطم الكاتشب - عبوة ضاغطة
41,MUHALLABIA MIX,خليط المهلبيه
42,MUSHROOMS - Pieces & Stems,فطر مقطع
43,MUSHROOMS - Whole  ,فطر كامل
44,PANCAKE MIX,خليط بانكيك
45,PASTA  (SPAGHETTI),مكرونة إسباغيتي
46,PASTA # 125 (NEST),مكرونة # 125
47,PASTA CUTS,مكرونة مقطعة
48,PASTA SAUCE,صلصة المكرونة
49,PASTA SAUCE RECIPE,وصفة صلصة المكرونة
50,PIZZA SAUCE,صلصة البيتزا
51,SKIPJACK,لحم تونا فاتح
52,STANDARD PINEAPPLE SLICES ,أناناس شرائح
53,VACUUM PACKED CORN  ,الذرة معبأة
54,WHITE OATS,شوفان ابيض
55,WHITE TUNA ,تونة بيضاء 
56,WHOLE KERNEL CORN  ,ذرة حب حلوة كامل
57,YELLOW FIN ,يلوفين
58,MUSHROOMS,الفطر
59,TUNA SLICES,شرائح التونة
60,BASBOUSAH,البسبوسة
61,LASAGNE ,لازانيا
62,PASTA COLOR ,مكرونة ملونة
63,YEAST ,خميرة فورية
64,VANILLA ,فانيلا
65,CHOCOLATE DRINK,شراب الشكولاتة
67,Cream Style Corn  ,ذرة حلوة مهروسة وكثيفة
