ID,Name (EN) ,Name (AR) ,Size,Origin,Brand,Variant,Country
1,ALBACORE ,الباكور,185,,California Garden, ALBACORE  ,BAHRAIN
2,ALBACORE ,الباكور,185,,CARREFOUR, ALBACORE  ,BAHRAIN
3,ALBACORE ,الباكور,185,,GEISHA, ALBACORE  ,BAHRAIN
4,ALBACORE ,الباكور,90,,GOODY, ALBACORE  ,BAHRAIN
5,ALBACORE ,الباكور,185,,JOHN WEST, ALBACORE  ,BAHRAIN
6,BABY CORN COBS,ذرة صغيرة,425,,AMERICAN CLASSIC,CORN,BAHRAIN
7,BABY CORN COBS,ذرة صغيرة,425,THAILAND,NATCO,CORN,BAHRAIN
8,BABY CORN COBS,ذرة صغيرة,420,,STOLLENWERK,CORN,BAHRAIN
9,BABY CORN COBS,ذرة صغيرة,425,,TOPTIP,CORN,BAHRAIN
10,BAKING POWDER ,باكينج باودر,100,,AL-FARES,BAKING POWDER ,BAHRAIN
11,BAKING POWDER ,باكينج باودر,110,MALTA,FOSTER CLARKS,BAKING POWDER ,BAHRAIN
12,BAKING POWDER ,باكينج باودر,225,MALTA,FOSTER CLARKS,BAKING POWDER ,BAHRAIN
13,BAKING POWDER ,باكينج باودر,450,,FOSTER CLARKS,BAKING POWDER ,BAHRAIN
14,BAKING POWDER ,باكينج باودر,100,,GREENS,BAKING POWDER ,BAHRAIN
15,BAKING POWDER ,باكينج باودر,227,,HINTS,BAKING POWDER ,BAHRAIN
16,BAKING POWDER ,باكينج باودر,113,,ROYAL,BAKING POWDER ,BAHRAIN
17,BAKING POWDER ,باكينج باودر,226,,ROYAL,BAKING POWDER ,BAHRAIN
18,BAKING POWDER ,باكينج باودر,15,,SAFA ,BAKING POWDER ,BAHRAIN
19,BAKING POWDER ,باكينج باودر,285,,WEIKFIELD,BAKING POWDER ,BAHRAIN
20,CAKE MIX,خليط الكيك,500,,American Garden,CAKE,BAHRAIN
21,CAKE MIX,خليط الكيك,500,KINGDOM OF SAUDI ARABIA,Betty Crocker ,CAKE,BAHRAIN
22,CAKE MIX,خليط الكيك,500,,CARREFOUR,CAKE,BAHRAIN
23,CAKE MIX,خليط الكيك,500,,DUNCAN HINEX ,CAKE,BAHRAIN
24,CAKE MIX,خليط الكيك,500,,JOTIS,CAKE,BAHRAIN
25,CAKE MIX,خليط الكيك,485,USA,PILLSBURY ,CAKE,BAHRAIN
26,CAKE MIX,خليط الكيك,500,,SAFA,CAKE,BAHRAIN
27,CHICKEN STOCK, مرقة دجاج,20,SWITZERLAND,Knorr,CHICKEN CUBES,BAHRAIN
28,CHICKEN STOCK, مرقة دجاج,20,,Maggi,CHICKEN CUBES,BAHRAIN
29,CHOICE PINEAPPLE SLICES,شرائح الاناناس,565,,American Garden,PINEAPPLE ,BAHRAIN
30,CHOICE PINEAPPLE SLICES,شرائح الاناناس,227,,AMERICANA,PINEAPPLE ,BAHRAIN
31,CHOICE PINEAPPLE SLICES,شرائح الاناناس,220,,California Garden,PINEAPPLE ,BAHRAIN
32,CHOICE PINEAPPLE SLICES,شرائح الاناناس,565,,California Garden,PINEAPPLE ,BAHRAIN
33,CHOICE PINEAPPLE SLICES,شرائح الاناناس,234,,DEL MONTE ,PINEAPPLE ,BAHRAIN
34,CHOICE PINEAPPLE SLICES,شرائح الاناناس,567,,DEL MONTE ,PINEAPPLE ,BAHRAIN
35,CHOICE PINEAPPLE SLICES,شرائح الاناناس,570,,DIAMOND,PINEAPPLE ,BAHRAIN
36,CHOICE PINEAPPLE SLICES,شرائح الاناناس,227,,DOLE,PINEAPPLE ,BAHRAIN
37,CHOICE PINEAPPLE SLICES,شرائح الاناناس,567,,DOLE,PINEAPPLE ,BAHRAIN
38,CHOICE PINEAPPLE SLICES,شرائح الاناناس,227,,GOODY,PINEAPPLE ,BAHRAIN
39,CHOICE PINEAPPLE SLICES,شرائح الاناناس,235,SOUTH AFRICA,LIBBYS,PINEAPPLE ,BAHRAIN
40,CHOICE PINEAPPLE SLICES,شرائح الاناناس,570,,LIBBYS,PINEAPPLE ,BAHRAIN
41,CHOICE PINEAPPLE SLICES,شرائح الاناناس,565,,LULU,PINEAPPLE ,BAHRAIN
42,CHOICE PINEAPPLE SLICES,شرائح الاناناس,567,,MONARCH,PINEAPPLE ,BAHRAIN
43,CHOICE PINEAPPLE SLICES,شرائح الاناناس,234,,S&W,PINEAPPLE ,BAHRAIN
44,COCOA  POWDER ,كاكاو بودرة,125,,CADBURY,COCOA POWDR,BAHRAIN
45,COCOA  POWDER ,كاكاو بودرة,250,UK,CADBURY,COCOA POWDR,BAHRAIN
46,COCOA  POWDER ,كاكاو بودرة,226,USA,HERSHEYS,COCOA POWDR,BAHRAIN
