ID,Name (EN) ,Name (AR) ,Category 
1, ALBACORE  ,الباكور,ALBACORE 
2, CORN ,الذرة, CORN 
3, BAKING POWDER  ,باكينج باودر,BAKERY AIDS
4, CAKE ,الكيك,CAKE
6,PINEAPPLE ,شرائح الاناناس,FRUITS
7,COCOA POWDR,كاكاو بودرة,BAKERY AIDS
8,CORN FLOUR ,نشاء الذرة,BAKERY AIDS
9,CREAM DELIGHT,كريم شانتيه,DESSERT
10,CRÈME CARAMEL ,كريم كاراميل,DESSERT
11,CUSTARD POWDER ,مسحوق الكاسترد,DESSERT
12,DESSERT,خليط لقمة القاضي,DESSERT
13,FANCY TUNA,تونة فاخرة,TUNA
14,FRUIT COCKTAIL ,فاكهة مشكلة,FRUITS
15,GELATIN ,الجيلاتين,DESSERT
17,HOT SAUCE,شطة حارة,SAUCES
18,JAM,مربى,JAM
19,KETCHUP GLASS,طماطم الكاتشب - عبوة زجاجية,KETCHUP
20,KETCHUP SQUEEZE ,طماطم الكاتشب - عبوة ضاغطة,KETCHUP
21,MUHALLABIA MIX,خليط المهلبيه,DESSERT
22, PIECES & STEMS, مقطع,MUSHROOM
23,WHOLE,كامل,MUSHROOM
24,DESERT,خليط بانكيك,DESSERT
25,SPAGHETTI ,مكرونة إسباغيتي,PASTA
26, MACARONI  ,مكرونة # 125,PASTA
28,PASTA SAUCE ,صلصة المكرونة,SAUCES
30,PIZZA SAUCE ,صلصة البيتزا,SAUCES
31,SARDINES,سردين,SARDINES
32,SKIPJACK TUNA ,لحم تونا فاتح,TUNA
34,TOMATO PASTE,معجون الطماطم,TOMATO PASTE  
35, SLICES ,شرائح,TUNA
37, VEGETABLE ,الخضار, VEGETABLE 
38,BANATI ,بناتى,VINE LEAVES
39,VINEGAR,خل,VINEGAR
40, WHITE OATS ,شوفان ابيض,OATS
41, WHITE TUNA  ,تونة بيضاء ,TUNA
43, YELLOWFIN  ,يلوفين,TUNA
44,  PIECES & STEMS ,الفطر,MUSHROOMS
47,Pasta boxes,مكرونة ملونة, PASTA 
49, VANILLA  ,فانيلا,BAKERY AIDS
50, YEAST ,خميرة فورية,BAKERY AIDS
51,SYRUP,شراب الشكولاتة,SYRUP
52, CHICKEN CUBES , مرقة دجاج,CHICKEN STOCK
53,HOT KETCHUP,طماطم الكاتشب الحارة,KETCHUP
54,PASTA CUTS,مكرونة مقطعة,PASTA
