ID,Name (EN),Name (AR),Currency,Type,Parent
1,UNITED ARAB EMIRATES,الإمارات العربية المتحدة,AED,country,null
2,KUWAIT,كويت,Kuwaiti dinar,country,null
3,QATAR,قطر,Qatari riyal,country,null
4,BAHRAIN,البحرين,Bahraini dinar,country,null
5,OMAN,سلطنة عمان,Omani rial,country,null
6,JORDAN,الأردن,Jordanian dinar,country,null
7,KINGDOM OF SAUDI ARABIA,المملكة العربية السعودية,Saudi riyal,country,null
8,ABU DHABI,أبوظبي,,region,1
9,DUBAI,دبي,,region,1
10,SHARJAH,الشارقة,,region,1
11,AJMAN,عجمان,,region,1
12,FUJAIRAH,الفجيرة,,region,1
13,RAS AL KHAIMAH,رأس الخيمة,,region,1
14,UMM AL QUWAIN,أم القيوين,,region,1
16,BAHRAIN,البحرين,,region,4
15,AL KUWAIT,الكويت,,region,2
17,MUSCAT,مسقط,,region,5
18,DHOFAR,ظفار,,region,5
19,AL BURAYMI,البريمي,,region,5
20,SHARQIYAH,الشرقية,,region,5
21,AD DAKHILIYAH,الداخلية,,region,5
22,AL BATINAH,الباطنة,,region,5
23,DOHA,الدوحة,,region,3
24,AL MِِANAMA,المنامة,,region,4
25,RIYADH,الرياض,,region,7
26,AMMAN,عمان,,region,6
27,SOUTH,الجنوب,,region,6
28,NORTH,الشمال,,region,6
29,AQABA,العقبة,,region,6
30,IRBID,اربد,,region,6
31,ZARQA,الزرقاء,,region,6
32,JERASH,جرش,,sub-region,28
33,RAMTHA,الرمثا,,sub-region,28
34,MAFRAK,المفرق,,sub-region,28
35,MAAN,معان,,sub-region,27
36,MADABA,مادبا,,sub-region,27
37,BARKA,بركاء,,sub-region,22
38,BOUSHER,بوشر,,sub-region,17
39,SAWAYQ,الكامل,,sub-region,20
40,NIZWA,نزوى,,sub-region,21
41,SOHAR,صحار,,sub-region,22
42,RUSTAQ,رستاق,,sub-region,22
43,BEHALA,بهلا,,sub-region,21
44,SAMAIL,سمايل,,sub-region,21
45,SALALAH,صلالة,,sub-region,18
46,HAWALLI,حولي,,sub-region,15
47,AL JAHRA,الجهراء,,sub-region,15
48,AL KUWAIT,الكويت,,sub-region,15
49,AL AHMADI,الأحمدي,,sub-region,15
51,AL WAKRAH,الوكرة,,sub-region,23
52,UMM SALAL,أم صلال,,sub-region,23
53,AL MِِANAMA,المنامة,,sub-region,24
54,HIDD,الحد,,sub-region,24
55,AL MUHARAQ,المحرق,,sub-region,24
56,RIFFA,الرفاعة,,sub-region,24
57,AL AIN,العين,,sub-region,8
58,ABU DHABI,أبوظبي,,sub-region,8
59,DUBAI,دبي,,sub-region,9
60,SHARJAH,الشارقة,,sub-region,10
61,AJMAN,عجمان,,sub-region,11
62,FUJAIRAH,الفجيرة,,sub-region,12
63,RAS AL KHAIMAH,رأس الخيمة,,sub-region,13
64,UMM AL QUWAIN,أم القيوين,,sub-region,14
65,MUSCAT,مسقط,,sub-region,17
66,DHOFAR,ظفار,,sub-region,18
67,AL BURAYMI,البريمي,,sub-region,19
68,SHARQIYAH,الشرقية,,sub-region,20
69,AD DAKHILIYAH,الداخلية,,sub-region,21
70,AL BATINAH,الباطنة,,sub-region,22
71,DOHA,الدوحة,,sub-region,23
72,RIYADH,الرياض,,sub-region,25
73,AMMAN,عمان,,sub-region,26
74,SOUTH,الجنوب,,sub-region,27
75,NORTH,الشمال,,sub-region,28
76,AQABA,العقبة,,sub-region,29
77,IRBID,اربد,,sub-region,30
78,ZARQA,الزرقاء,,sub-region,31
