ID,Name (EN) ,Name (AR) ,Barcode,Packing,PPT,Origin,Category,Variant,Country
1, CAKE MIX - WHITE  ,خليط كيك أبيض,617950200017,12 X 524 GM,7.70, KINGDOM OF SAUDI ARABIA ,CAKE,CAKE,UNITED ARAB EMIRATES
2, CAKE MIX - YELLOW ,خليط كيك أصفر,617950200024,12 X 524 GM,7.70, KINGDOM OF SAUDI ARABIA ,CAKE,CAKE,UNITED ARAB EMIRATES
3, CAKE MIX - ORANGE ,خليط كيك برتقال,617950200031,12 X 524 GM,7.70, KINGDOM OF SAUDI ARABIA ,CAKE,CAKE,UNITED ARAB EMIRATES
4, CAKE MIX - LEMON ,خليط كيك ليمون,617950200048,12 X 524 GM,7.70, KINGDOM OF SAUDI ARABIA ,CAKE,CAKE,UNITED ARAB EMIRATES
5, CAKE MIX - CHOCOLATE ,خليط كيك شكولاته,617950200055,12 X 524 GM,7.70, KINGDOM OF SAUDI ARABIA ,CAKE,CAKE,UNITED ARAB EMIRATES
6, CAKE MIX - POUND ,خليط كيك باوند,617950200062,12 X 481GM,7.70, KINGDOM OF SAUDI ARABIA ,CAKE,CAKE,UNITED ARAB EMIRATES
7, CAKE MIX - STRAWBERRY  ,خليط كيك فراولة,617950200079,12 X 524 GM,7.70, KINGDOM OF SAUDI ARABIA ,CAKE,CAKE,UNITED ARAB EMIRATES
8, CAKE MIX - COCONUT ,خليط كيك جوز الهند,617950200086,12 X 524 GM,7.70, KINGDOM OF SAUDI ARABIA ,CAKE,CAKE,UNITED ARAB EMIRATES
9, CAKE MIX - PINEAPPLE  ,خليط كيك أناناس,617950200130,12 X 524 GM,7.70, KINGDOM OF SAUDI ARABIA ,CAKE,CAKE,UNITED ARAB EMIRATES
10, CAKE MIX - MARBLE ,خليط كيك ماربل,617950200123,12 X 517GM,7.70, KINGDOM OF SAUDI ARABIA ,CAKE,CAKE,UNITED ARAB EMIRATES
11, CAKEMIX - FRENCH VANILLA ,خليط كيك فانيلا فرنسية,617950200352,12 X 524 GM,, KINGDOM OF SAUDI ARABIA ,CAKE,CAKE,UNITED ARAB EMIRATES
12, RICH COCOA POWDER PACKETT ,كاكاو بودرة,617950174103,24 X 100 GM,6.00, KINGDOM OF SAUDI ARABIA ,BAKERY AIDS,COCOA POWDR,UNITED ARAB EMIRATES
13, RICH COCOA POWDER  TIN ,كاكاو بودرة,617950174066,2 X 12 X 127 GM,, KINGDOM OF SAUDI ARABIA ,BAKERY AIDS,COCOA POWDR,UNITED ARAB EMIRATES
14, RICH COCOA POWDER  TIN ,كاكاو بودرة,617950174080,12 X 225 GM,21.00, KINGDOM OF SAUDI ARABIA ,BAKERY AIDS,COCOA POWDR,UNITED ARAB EMIRATES
15, INSTANT DRY YEAST SACHETS ,خميرة فورية,617950171720,6 X 12 X ( 11X4 GM),2.58, KINGDOM OF SAUDI ARABIA ,BAKERY AIDS,YEAST,UNITED ARAB EMIRATES
16, PANCAKE MIX  ,خليط بانكيك,617950200901,12 X 454 GM ,5.08, KINGDOM OF SAUDI ARABIA ,DESSERT,CAKE,UNITED ARAB EMIRATES
17, DUMPLING MIX ,خليط لقمة القاضي,617950200116,18 X 453 GM,4.48, KINGDOM OF SAUDI ARABIA ,DESSERT,DUMPLING,UNITED ARAB EMIRATES
18, BASBOUSAH MIX ,خليط البسبوسة,617950200413,12 X 500 GM,5.93, KINGDOM OF SAUDI ARABIA ,DESSERT,BASBOUSAH ,UNITED ARAB EMIRATES
