ID,Name (EN),Name (AR),,,,
144,AFGHANISTAN,أفغانستان,,,,
107,ALBANIA,ألبانيا,,,,
136,ALGERIA,الجزائر,,,,
76,ANGOLA,أنغولا,,,,
143,ARGENTINA,الأرجنتين,,,,
66,ARMENIA,أرمينيا,,,,
114,AUSTRALIA,أستراليا,,,,
9,AUSTRIA,النمسا,,,,
50,AZERBAIJAN,أذربيجان,,,,
31,BAHRAIN,البحرين,,,,
44,BANGLADESH,بنغلاديش,,,,
74,BELARUS,روسيا البيضاء,,,,
49,BELGIUM,بلجيكا,,,,
64,BELIZE,بيليز,,,,
68,BENIN,بنين,,,,
109,BOLIVIA,بوليفيا,,,,
128,BOSNIA AND HERZEGOVINA,البوسنة و الهرسك,,,,
141,BOTSWANA,بوتسوانا,,,,
147,BRAZIL,البرازيل,,,,
145,BULGARIA,بلغاريا,,,,
154,BURKINA FASO,بوركينا فاسو,,,,
90,BURUNDI,بوروندي,,,,
127,CAMBODIA,كمبوديا,,,,
88,CAMEROON,كاميرون,,,,
80,CANADA,كندا,,,,
150,CENTRAL AFRICAN REPUBLIC,جمهورية أفريقيا الوسطى,,,,
96,CHAD,تشاد,,,,
113,CHILE,تشيلي,,,,
26,CHINA,جمهورية الصين الشعبية,,,,
51,COLOMBIA,كولومبيا,,,,
58,COMOROS,جزر القمر,,,,
32,CONGO,جمهورية الكونغو الديمقراطية,,,,
33,DEMOCRATIC REPUBLIC OF THE CONGO ,جمهورية الكونغو الديمقراطية,,,,
34,COSTA RICA,كوستاريكا,,,,
35,COTE D'IVOIRE,ساحل العاج,,,,
36,CROATIA,كرواتيا,,,,
37,CUBA,كوبا,,,,
38,CYPRUS,قبرص,,,,
39,CZECH REPUBLIC,الجمهورية التشيكية,,,,
40,DENMARK,الدانمارك,,,,
41,DJIBOUTI,جيبوتي,,,,
42,DOMINICAN REPUBLIC,الجمهورية الدومينيكية,,,,
43,ECUADOR,إكوادور,,,,
11,EGYPT,مصر,,,,
45,EL SALVADOR,إلسلفادور,,,,
46,ESTONIA,استونيا,,,,
47,ETHIOPIA,أثيوبيا,,,,
48,FINLAND,فنلندا,,,,
13,FRANCE,فرنسا,,,,
8,GEORGIA,جورجيا,,,,
30,GERMANY,ألمانيا,,,,
52,GHANA,غانا,,,,
53,GREECE,اليونان,,,,
54,GUATEMALA,غواتيمال,,,,
55,GUINEA,غينيا,,,,
56,GUYANA,غيانا,,,,
57,HAITI,هايتي,,,,
10,HOLLAND,هولندا,,,,
59,HONDURAS,هندوراس,,,,
60,HONG KONG,هونغ كونغ,,,,
61,HUNGARY,المجر,,,,
62,ICELAND,آيسلندا,,,,
63,INDIA,الهند,,,,
14,INDONESIA,أندونيسيا,,,,
65,IRAN,إيران,,,,
6,IRAQ,العراق,,,,
67,IRELAND,جمهورية أيرلندا,,,,
15,ITALY,إيطاليا,,,,
69,JAMAICA,جمايكا,,,,
70,JAPAN,اليابان,,,,
71,JORDAN,الأردن,,,,
72,KAZAKHSTAN,كازاخستان,,,,
73,KENYA,كينيا,,,,
12,KINGDOM OF SAUDI ARABIA,المملكة العربية السعودية,,,,
75,NORTH KOREA,كوريا الشمالية,,,,
4,KUWAIT,كويت,,,,
77,KYRGYZSTAN,قيرغيزستان,,,,
78,LAOS,لاوس,,,,
79,LATVIA,لاتفيا,,,,
25,LEBANON,لبنان,,,,
81,LIBERIA,ليبيريا,,,,
82,LIBYA,ليبيا,,,,
83,LITHUANIA,لتوانيا,,,,
84,LUXEMBOURG,لوكسمبورغ,,,,
85,MACEDONIA,جمهورية مقدونيا,,,,
86,MADAGASCAR,مدغشقر,,,,
87,MALAWI,مالاوي,,,,
24,MALAYSIA,ماليزيا,,,,
89,MALI,مالي,,,,
22,MALTA,مالطا,,,,
91,MAURITANIA,موريتانيا,,,,
92,MAURITIUS,موريشيوس,,,,
93,MEXICO,المكسيك,,,,
94,MOLDOVA,مولدافيا,,,,
95,MONGOLIA,منغوليا,,,,
27,MOROCCO,المغرب,,,,
97,MOZAMBIQUE,موزمبيق,,,,
98,MYANMAR,ميانمار,,,,
99,NAMIBIA,ناميبيا,,,,
100,NEPAL,نيبال,,,,
101,NETHERLANDS,هولندا,,,,
102,NEW ZEALAND,نيوزيلندا,,,,
103,NICARAGUA,نيكاراجوا,,,,
104,NIGER,النيجر,,,,
105,NIGERIA,نيجيريا,,,,
106,NORWAY,النرويج,,,,
2,OMAN,عمان,,,,
108,PAKISTAN,باكستان,,,,
16,PALESTINE,فلسطين,,,,
110,PANAMA,بنما,,,,
111,PARAGUAY,باراغواي,,,,
112,PERU,بيرو,,,,
28,PHILIPINNES,الفليبين,,,,
7,POLAND,بولندا,,,,
115,PORTUGAL,البرتغال,,,,
116,QATAR,قطر,,,,
117,ROMANIA,رومانيا,,,,
118,RUSSIA,روسيا,,,,
119,RWANDA,رواندا,,,,
120,SAUDI ARABIA,المملكة العربية السعودية,,,,
121,SENEGAL,السنغال,,,,
122,SERBIA,جمهورية صربيا,,,,
123,SIERRA LEONE,سيراليون,,,,
124,SINGAPORE,سنغافورة,,,,
125,SLOVAKIA,سلوفاكيا,,,,
126,SLOVENIA,سلوفينيا,,,,
23,SOUTH AFRICA,جنوب أفريقيا,,,,
17,SPAIN,إسبانيا,,,,
