ID,Name (EN),Name (AR)
1,20/20  sm,س.م 20/20
2,24x7 S/M (AL JAZIRA P/STATION SALWA ROAD),24/ 7 الجزيرة
3,911 sm / university,س.م 911/ الجامعة
4,A G AMRT,اي جيه مارت
5,A.AL SALAM & MANSOURIA CO-OP,جمعية عبدالله الساللم والمنصورية
6,ABA MONOPRIX QATAR,مونوبري
7,Abaq Al zohour sm,عبق الزهور
8,ABDUL LATIF F/S STORES,عبداللطيف للمواد الغذائية ومخزن
9,ABDULLA AL KHATTAL GNERAL TRADING,عبدالله الختال للتجارة العامة
10,ABDULLAH AL MUBARAK CO-OP,جمعية عبد الله المبارك
11,ABOU OBEIDA MARKET / SWEILEH,سوبر ماركت ابو عبيدة/ صويلح
12,ABU HALIFA  CO-OP SOCIETY,جمعية أبو حليفة
13,ABU HAMAD TRADING,عبدالحميد للتجارة
14,Abu Hijleh sm,ابو حجلة
15,Abu Jaafar,س.م ابو جعفر
16,ABU YASER STORES - BR.,أبو ياسر للمواد الغذائية
17,Abubakar Brothers sm,محلات ابو بكر اخوان/ جبل النصر
18,ABUDHABI CO OP. SOC.,جمعية أبوظبي التعاونية
19,ADALIA CO-OP SOCIETY,جمعية العادلية
20,ADWAA AL MADINA SUPERMARKET LLC,أضواء المدينه
21,AGRICULTURAL FOOD PRODUCTS CO.,المنتجات الزراعية
22,Ahmed Faraj and his partner / SM,شركة تيسير احمد فرج الحسبان وشريكه/المفرق
23,AHMED KHAMIS SALIM ABDULLAH / RETAIL GROCERY,بقالة احمد خميس سالم عبدالله / المفرق
24,Ahmed Yahya sm / Durra,احمد يحيى للتوفير/ الدرة
25,Ajdadona SM,شركة اجدادنا للتجارة ( اسواق اجدادنا )
26,AJOU / JABAL AL HUSSEIN,العجو/جبل الحسين
27,"AKRAM MUSA ARAFAT, HAMDAN AND HIS BROTHERS / IRBID",اكرم عرفات موسى حمدان واخوانه/ اربد
28,Akram Youssef & Associates /Tulkarem sm / Ein Al Basha Inc.,شركة اكرم يوسف وشركاه/ سوق طولكرم/ عين الباشا
29,AL  WAHA SUPERMARKET,سوبرماركت الواحة
30,AL AASIMA CO-OPERATIVE SOCIETY,جمعيه العاصمة التعاونيه
31,AL AHLI GEN.TR.CO.LTD SHJ BR.,
32,AL AHLI GENRAL TRADING-FUJ,
33,AL AHLI SUPERMARKET LLC - AL TAWOON,
34,AL AHLI SUPERMARKET LLC - QASIMIYA SHJ,
35,AL AHLI SUPERMARKET-NATL PAINT,
36,AL AHLI GROUP,مجموعة الأهلي
37,AL AIN CITY CENTRE,العين سيتي سنتر
38,AL AIN FLOWER MARKET LLC,
39,AL AIN GIFT MARKET - AL AIN,سوق العين للهدايا
40,AL AIN MARKETING LLC,العين للتسويق المحدودة
41,AL AMAL TRADING CENTRE,مركز الأمل للتجارة
42,AL AMRI CENTER,العمرى
43,AL ARAB HYPERMARKET,العرب هايبرماركت
44,AL ARAB HYPERMARKET - BR.1,
45,Al ASAL / Khaled Sabri  / Irbid,محمص العسل/خالد صبري العسل/اربد
46,Al Awfya Cooperative Association of Retired /Sahab,جمعية الاوفياء التعاونية للمتقاعدين العسكريين/سحاب
47,AL AZIZIA PANDA UNITED ,العزيزيه باندا
48,AL BAHAR FOODSTUFF SUPPLY LLC,البحر لتوريد المواد الغذائية المحدودة
49,Al Baldeh sm / sweifieh,البلدة للتموين/ الصويفيه
50,Al Baraa,البراءة
51,AL BARAEM HYPERMARKET -DEIRA,البراعم هايبر ماركت - ديرة
52,AL BAYAN FOODS LLC,
53,Al BasmehTrading Company / brothers mol / Tabarbour,شركة البصمة الكبرى التجارية/الاخوة مول/طبربور
54,AL BIS SM,محلات البس
55,Al Dairi & Brothers stores,ش.زياد الديري واخوانه(مخازن الديري اخوان)/الياسمين
56,Al Darajj SM,شركة الدراج لتجارة المواد التموينية
57,AL DHAFRA CO OP SOCIETY,جمعيه الظفره التعاونيه
58,AL DOURI GROUP,سوبرماركت ومحمصة الدوري - رأس الخيمة
59,AL EWAN H M,الأيوان
60,AL FARID,س م الفريد / المقابلين
61,AL HADAF SUPER MARKET,سوبرماركت الهدف
62,AL Hajeh Mall,الحجة مول
63,AL HAJJAN FOODSTUFF TR.,الهجان لتجارة المواد الغذائية
64,AL HAMA FOODSTUFFS WHOLE DIST,الهما للمواد الغذائية للتوزيع بالجملة
65,AL HARAZI TRADING -AUH,الحرازي للتجارة - أبوظبي
66,AL HASAD AL MUTHMER STORE LLC,
67,AL HOOT FOODSTUFF TRADING - NOIMIA,
68,AL HOOT GENERAL TRADING(BR)-MUSHREEF,الحوث لتجارة المواد الغذائية - المشرف
69,AL HOOT HYPERMARKET LLC - RAK,
70,AL HOOTH GENERAL TRADING,
71,AL HUDA BUTCHERY,ملحمة الهدى
72,AL JAZEERA FLOUR MILLS WLL,
73,AL Jawhara/Omar SM / Ramtha,جوهرة عمر / الرمثا
74,AL JAZEERA H M,الجزيرة
75,AL JAZIRA,الجزيرة
76,Al Kamil wa Al misbah mm,الكامل والمصباح لتجارة المواد الغذائية
77,Al Kanas,القناص
78,AL KARAMA H M,الكرامة
79,AL KHALEEJ MARKETS LLC,أسواق الخليج
80,AL KHOORI TRADING COMPANY- LLC,شركة الخوري للتجارة المحدودة
81,"AL MADADH  S.M., KHORFAKKAN",الأهلي للتجاره العامه - خورفكان
82,Al Madina sm,سوبر ماركت المدينة الرياضية
83,AL MADINA HYPERMARKET LLC - BANIYAS,
84,AL MADINA SUPER MARKET,سوبرماركت المدينه
85,AL MAHASHI RESTAURANT,مطعم المحاشي
86,AL MAKHMARI TRADING -AUH,المخمري للتجارة - أبوظبي
87,AL MANCH FOODSTUFF TRDG EST,
88,AL MANAMA HYPER MARKET LLC,المنامة هايبرماركت المحدودة - رأس الخيمة
89,Al Maokiee sm,س.م الموقع
90,AL MARIAH INTERNATIONAL HYPERMARKET,الماريه إنترناشونال هايبرماركت
91,Al Marj Super Market / Marj Al Hamam,سوبر ماركت المرج/ مرج الحمام
92,AL MASHREQ S.M.,سوبرماركت المشرق
93,AL MAYA GROUP,مجموعة المايا (بردبي)
94,AL MEERA,الميرة
95,AL MUSHRIF CO OPERATIVE SOCIETY,جمعية المشرف التعاونية
96,AL MUSTAQBAL SUPERMARKET LLC,سوبرماركت المستقبل المحدود
97,Al Nada Dairies,البان واجبان الندى
98,AL OSRA,الأسرة
99,AL QABAIL GIFT,هدايا القبائل
100,AL QUSOR & AL ADAN CO-OP SOCIETY,جمعية القصور والعدان
101,AL RABIE SUPERMARKET,سوبرماركت الربيع
102,AL RAEE MEAT & FOODSTUFF TRDG,
103,AL RAWABI SUPER MARKET,سوبرماركت الروابي
104,Al Rawdah supermarket / Ain Ghazal,سوبر ماركت الروضة/ عين غزال
105,AL RAYYAN FOOD COMPLEX,مجمع الريان للتسوق
106,Al reef sm,الريف
107,AL REFAEYA FOOD STUFFS DISTRIBUTION EST,مؤسسة الرفاعية لتوزيع المواد الغذائية
108,AL SAJIDHA SUPER MARKET(RAK) - WHOLESALE,
109,AL SAJIDHA SUPERMARKET ( RAK),
110,AL SHABIYAH MARKETS,
