ID,Name (EN) ,Name (AR) ,Category
1, ACACIA ,أكاسيا,HONEY
2, ALBACORE  ,الباكور,TUNA
3, BAKING POWDER  ,باكينج باودر,BAKERY AIDS
15, BECHAMEL  ,البشاميل,SAUCES
16, CAKE ,الكيك,CAKE
17, CHICKEN CUBES ,مكعبات الدجاج,CHICKEN CUBES
18, COCOA POWDR ,كاكاو بودرة,BAKERY AIDS
19, CORN ,الذرة,CORN
20, CORN FLOUR  ,نشاء الذرة,BAKERY AIDS
21, CREAM DELIGHT ,كريم شانتيه,DESSERT
22, CRÈME CARAMEL  ,كريم كاراميل,DESSERT
23, CUSTARD POWDER  ,مسحوق الكاسترد,DESSERT
24, FANCY TUNA ,تونة فاخرة,TUNA
25, FRUIT COCKTAIL  ,فاكهة مشكلة,FRUITS
26, FREEKEH ,فريكة,FREEKEH
27, GELATIN  ,الجيلاتين,DESSERT
28, JAM ,مربى,JAM
29, HOT SAUCE ,شطة حارة,SAUCES
30, KETCHUP GLASS ,طماطم الكاتشب - عبوة زجاجية,KETCHUP
31, KETCHUP SQUEEZE  ,طماطم الكاتشب - عبوة ضاغطة,KETCHUP
32, MUHALLABIA MIX ,خليط المهلبيه,DESSERT
33, MACARONI  ,مكرونة,PASTA
34, MULTIFLORA ,صافي,HONEY
35, PASTA SAUCE  ,صلصة المكرونة,SAUCES
36, PASTA BOXES ,صناديق المكرونة,PASTA
37, ORANGE BLOSSOM ,زهرة البرتقال,HONEY
38, PRESERVE  , بقطع فاكهة أكثر,JAM
39, PIZZA SAUCE  ,صلصة البيتزا,SAUCES
40, PINEAPPLE  ,أناناس,FRUITS
41,  PIECES & STEMS , مقطع,MUSHROOM
42, SKIPJACK TUNA  ,لحم تونا فاتح,TUNA
43, SLICES ,شرائح,TUNA
44, RECIPES ,وصفات,TUNA
45, SARDINES ,سردين,SARDINES
46, TOMATO PASTE   ,معجون الطماطم,TOMATO PASTE
47, SYRUP ,شراب,SYRUP
48, SPAGHETTI  ,إسباغيتي,PASTA
49, TUNA SANDWICH  ,تونا للسندويشات,TUNA
50, TURKEY ,ديك رومي,VINE LEAVES
51, VANILLA  ,فانيلا,BAKERY AIDS
52, WHITE OATS ,شوفان ابيض,OATS
53, VINEGAR ,خل,VINEGAR
54, VEGETABLE ,الخضار,VEGETABLE
55, YEAST ,خميرة فورية,BAKERY AIDS
56, WHOLE ,كامل,MUSHROOM
57, YELLOWFIN  ,يلوفين,TUNA
58, WHITE TUNA  ,تونة بيضاء ,TUNA
59,FANCY ,فاخر ,VINE LEAVES
60,BANATI ,بناتى,VINE LEAVES
61,DUMPLING,,DESSERT
62,BASBOUSAH ,,DESSERT
