ID,Name (EN),Name (AR),Address (EN),Address (AR),Sub-Region,Retail Segment,Outlet
1,AL JAZIRA AL MURZAN MAAL,الجزيرة مرجان مول,"Flat-19,Building-140, Road-41,Block-340, Manama/ Juffair",الجفير مرجان مول,AL MANAMA,A - CLASS,AL JAZIRA
2,AL JAZIRA COLD STORES AL ADLIYAH,برادات الجزيرة العادلية,"Flat-0, Building-80, Road-306, Block-327, Manama/ Al Adliyah",المنامة العادية,AL MANAMA,A - CLASS,AL JAZIRA
3,AL JAZIRA COLD STORES AL JASRAH,برادات الجزيرة الجسرة,"Flat-11, Buidling-15, Road-2, Block-1002, Al Jasrah",الجسرة,AL JASRA,A - CLASS,AL JAZIRA
4,AL JAZIRA COLD STORES BUDAIYA,برادات الجزيرة البديع,"Flat-0, Building-01564, Road-0085, Block-502, Janusan/ Budaiya",البديع شارع 85,AL BUDDIYA,A - CLASS,AL JAZIRA
5,AL JAZIRA COLD STORES BUQUWAH,برادات الجزيرة بقواع,"Flat-0, Building-2376, Road-5756, Block-457, Buquwah",البقواع,AL BUQBA,A - CLASS,AL JAZIRA
6,AL JAZIRA COLD STORES MANAMA,برادات الجزيرة المنامة,"Flat-0, Building-130, Road-33, Block-332, Manama/ Bu Ashirah/ Mahooz",المنامة - بوعشيرة,AL MANAMA,A - CLASS,AL JAZIRA
7,AL JAZIRA COLD STORES JANABIYAH,,"Flat- 01, Building 896, Block- 579, Al Janabiyah",,HAMLA,A - CLASS,AL JAZIRA
8,AL OSRA AMWAJ,الأسرة أمواج,"Flat-1, Building-873, Road-5815, Block-258, Amwaj",امواج,AMWAJ,A - CLASS,AL OSRA
9,AL OSRA DURAT UL BAHRAIN,الأسرة درة البحرين,"Building- 3484, Road-9926, Block-999, Durat ul Bahrain",درة البحرين,AL MANAMA,A - CLASS,AL OSRA
10,AL OSRA MANAMA,الأسرة المنامة,"Building-517, Road no-2408, Block-324, Manama/ Alfateh",المنامة الفتح,AL MANAMA,A - CLASS,AL OSRA
11,AL OSRA NAKHEEL CENTRE,الأسرة مركز النخيل,"Flat-18, Building-789, Road-1322, Block-513, Nakheel Centre Saar",مركز النخيل -سار,SAAR,A - CLASS,AL OSRA
12,AL OSRA SAAR,الأسرة سار,"Buidling-3, Road-15, Block-515, Saar",سار شارع 15,SAAR,A - CLASS,AL OSRA
13,AL OSRA RIFFA,الأسرة الرفاعة,"Flat- 19, Building-772, Road-307, Block-943, Riffa",الرفاعة شارع 307,RIFFA,A - CLASS,AL OSRA
14,AL OSRA JANABIYAH,,"Shop 123, Building no-108, Road no-79, Block no-575, Janabiyah",,JANABIYAH,A - CLASS,AL OSRA
15,AL SATTER MARKET BANIJAMRAH,الساتر بنوجمرة,"Bldg 1783,Road4151,Block 541,Banijamrah",بني جمرة,BANIJAMRAH,B - CLASS,AL SATTER MARKET
16,AL SATTER MARKET DAMISTAN,الساتر دامستان,"Bldg1555,Flat 3,Road 106,Block 1022, Damistan",دامستان,DAMISTAN,B - CLASS,AL SATTER MARKET
17,AL ZAAD MARKET BUHAIR,الزاد البحير,"Shop no 1281,Road 4130,Block 941,Buhair",البحير,BUHAIR,B - CLASS,AL ZAAD MARKET
18,AL ZAAD MARKET EAST RIFFA,الزاد شرق الرفاعة,"Shop no 1312,Road 329,Block 903,East Riffa",الرفاعة,RIFFA,B - CLASS,AL ZAAD MARKET
