ID,Name (EN),Name (AR),Currency,Type,Parent
1,BAHRAIN,البحرين,Bahraini dinar,country,null
2,AALI,"العالي
",,region,1
3,AL MANAMA,"المنامة
",,region,1
4,AL MUHARAQ,المحارق ,,region,1
5,BUDDIYA,البادية,,region,1
6,AMWAJ,أمواج,,region,1
7,ARAD,أراد,,region,1
8,HAMALA,حملة,,region,1
9,HIDD,الحد,,region,1
10,GALALI,قلالي,,region,1
11,HAMAD TOWN,مدينة حمد,,region,1
12,JIDHAFS,جدحفص ,,region,1
13,NUWAIDRAT,النويدرات,,region,1
14,JUFFAIR,الجفير ,,region,1
15,ISA TOWN,مدينة عيسى,,region,1
16,SAAR,سار ,,region,1
17,RIFFA,الرفاع,,region,1
18,SAFRA,سافرة,,region,1
19,SALMABAD,سلماباد,,region,1
20,SANAD,سند,,region,1
21,TUBLI,توبلي,,region,1
22,ZALLAQ,الزلاق,,region,1
23,SITRA,سيترة,,region,1
24,AALI,العالي,,sub-region,2
25,SALMANIA,السلمانية,,sub-region,3
26,QUDABIAH,القضيبية ,,sub-region,3
27,AL MِِANAMA,"المنامة
",,sub-region,3
28,SAMAHIJ,السماهيجي ,,sub-region,4
29,AL MUHARAQ,المحارق ,,sub-region,4
30,AL BUDDIYA,البادية,,sub-region,5
31,JANABIYAH,جانبية ,,sub-region,5
32,BANIJAMRAH,بن جاماره,,sub-region,5
33,AL DIRAZ,الديراذ,,sub-region,5
34,AMWAJ,أمواج,,sub-region,6
35,ARAD,أراد,,sub-region,7
36,AL JASRA,الجاسرة,,sub-region,8
37,HAMLA,حملة,,sub-region,8
38,DAMISTAN,دامستان,,sub-region,8
39,HIDD,الحد,,sub-region,9
40,GALALI,قلالي,,sub-region,10
41,HAMAD TOWN,مدينة حمد,,sub-region,11
42,SADAD,ساداد,,sub-region,11
43,AL DAIH,الديه ,,sub-region,12
44,NUWAIDRAT,النويدرات,,sub-region,13
45,JUFFAIR,الجفير ,,sub-region,14
46,ISA TOWN,مدينة عيسى,,sub-region,15
47,ZAYED TOWN,مدينة زايد,,sub-region,15
48,AL BUQBA,العقبة,,sub-region,16
49,SAAR,سار ,,sub-region,16
50,MAQABAH,ماكبة,,sub-region,16
51,BUHAIR,بوهاري ,,sub-region,17
52,RIFFA,الرفاع,,sub-region,17
53,RIFFA VILLAGE,قرية الرفاع,,sub-region,17
54,WEST RIFFA,الرفاع الغربي,,sub-region,17
55,SAFRA,سافرة,,sub-region,18
56,SALMABAD,سلماباد,,sub-region,19
57,SANAD,سند,,sub-region,20
58,TUBLI,توبلي,,sub-region,21
59,ZALLAQ,الزلاق,,sub-region,22
60,SITRA,سيترة,,sub-region,23
