ID,Name (EN),Name (AR)
1,AL JAZIRA,الجزيرة
2,AL OSRA,الأسرة
3,AL SATTER MARKET,الساتر
4,AL ZAAD MARKET,الزاد
5,ANSAR GALLARY,أنصار جاليري
6,ASWAQ AL AWAFI,أسواق العوافي
7,ASWAQ AL HELLI,أسواق الهيلي
8,BAHRAIN PRIDE TRADE CENTER,فخر البحرين للتجارة
9,BDF,ادارة دفاع البحرين
10,CARREFOUR,كارفور
11,WESTERN RGION,المنطقة الغربية
12,DAIRATY MARKET,ديرتي
13,GEANT GROUP,جيان
14,GHADA MARKET,سوق غادة
15,GSF MARKET,جى اس اف ماركت
16,HASAN MAHMOOD,حسن محمود
17,HIMART,هاى مارت
18,HIDD COOPERATIVE SOCIETY,جمعية الحد
19,JAWAD GROUP,مجموعة الجواد
20,LEBANON TRADING ,تجارة لبنان
21,LULU GROUP,مجموعة اللولو
22,MACROMART,ماكرو مارت
23,MEGA MART,ميغا مارت
24,MIDWAY S/M,ميدواي
25,MASTERPOINT,ماستر بوينت
26,MUNTAZAH,المنتزه
27,NESTO GROUP,مجموعة نستو
28,PUBLIC SECUITY,الأمن العام
29,RAMEZ GROUP,مجموعة رامز
30,RUYAN DEPARTMENT STORE,رويان
31,STERLING CATGERING SERVICES,سترلينغ لخدمات الطعام
32,SULTAN CENTER,مركز سلطان
