ID,Name (EN),Name (AR)
1,MANAGING DIRECTOR,المدير العام
2,GENERAL SALES MANAGER,مدير عام المبيعات
3,MARKETING MANAGER,مدير التسويق
4,COUNTRY MANAGER,مدير سوق
5,SALES MANAGER,مدير مبيعات
6,FIELD SALES MANAGER,مدبر مبيعات ميداني
7,KEY ACCOUNT MANAGER,مدير مبيعات كبار العملاء
8,SALES COORDINATOR / SECRETARY,سكرتير / محلل ومنسق المبيعات
9,SALES SUPERVISOR,مشرف المبيعات
10,AREA IN CHARGE,مسؤول منطقة
11,SALES EXECUTIVE,تنفيذي مبيعات
12,SALES REPRESENTATIVE,مندوب مبيعات
13,SALES MERCHANDISER,مندوب ومروج المبيعات
14,MERCHANDISER SUPERVISOR,مسؤول المروجين
15,MERCHANDISER,مروج
16,SHELF FILLER,عامل الرفوف
17,MASTER UPLOADER,مسؤول تحميل البيانات الرئيسي
18,UPLOADER,مسؤول تحميل بيانات
19,Customer Success ,مسؤول نجاح العملاء
